id,created_at,updated_at,instrument,bar_type,priced_at,open_price,high_price,low_price,close_price,last_price,prev_close,annual_cash_dividend_per_10,annual_dividend_per_share,annual_dividend_yield_pct,annual_dividend_report,volume,turnover,source
154,2026-03-08 12:12:36.566649+00:00,2026-03-08 12:12:36.566656+00:00,73,spot,2026-03-08 12:12:36.394411+00:00,,,,,18.9300,18.4700,8.0000,0.8000,4.2300,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
153,2026-03-08 12:12:35.699798+00:00,2026-03-08 12:12:35.699808+00:00,72,spot,2026-03-08 12:12:35.539724+00:00,,,,,15.7700,15.2000,4.1000,0.4100,2.6000,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
152,2026-03-08 12:12:34.401784+00:00,2026-03-08 12:12:34.401796+00:00,71,spot,2026-03-08 12:12:34.211034+00:00,,,,,23.2000,22.7500,13.6216,1.3622,5.8700,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
151,2026-03-08 12:12:33.368652+00:00,2026-03-08 12:12:33.368662+00:00,70,spot,2026-03-08 12:12:33.205378+00:00,,,,,25.3400,24.8000,7.1000,0.7100,2.8000,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
150,2026-03-08 12:12:31.419621+00:00,2026-03-08 12:12:31.419628+00:00,69,spot,2026-03-08 12:12:31.255434+00:00,,,,,11.7200,11.8100,6.9000,0.6900,5.8900,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
149,2026-03-08 12:12:29.283878+00:00,2026-03-08 12:12:29.283891+00:00,68,spot,2026-03-08 12:12:29.083506+00:00,,,,,4.8100,4.7300,1.9000,0.1900,3.9500,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
148,2026-03-08 12:12:27.303598+00:00,2026-03-08 12:12:27.303610+00:00,67,spot,2026-03-08 12:12:27.155158+00:00,,,,,9.9400,9.8800,4.6400,0.4640,4.6700,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
147,2026-03-08 12:12:25.348371+00:00,2026-03-08 12:12:25.348376+00:00,66,spot,2026-03-08 12:12:25.161050+00:00,,,,,6.2500,6.1500,1.8000,0.1800,2.8800,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
146,2026-03-08 12:12:24.291017+00:00,2026-03-08 12:12:24.291029+00:00,65,spot,2026-03-08 12:12:24.084342+00:00,,,,,9.1300,9.0900,4.0000,0.4000,4.3800,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
145,2026-03-08 12:12:21.258710+00:00,2026-03-08 12:12:21.258717+00:00,64,spot,2026-03-08 12:12:21.082136+00:00,,,,,9.6100,9.6700,4.2000,0.4200,4.3700,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
144,2026-03-08 12:12:18.674322+00:00,2026-03-08 12:12:18.674334+00:00,63,spot,2026-03-08 12:12:18.518829+00:00,,,,,9.8600,10.0800,3.0900,0.3090,3.1300,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
143,2026-03-08 12:12:17.664551+00:00,2026-03-08 12:12:17.664565+00:00,62,spot,2026-03-08 12:12:17.438389+00:00,,,,,16.6500,16.8600,6.0000,0.6000,3.6000,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
142,2026-03-08 12:12:16.590561+00:00,2026-03-08 12:12:16.590571+00:00,61,spot,2026-03-08 12:12:16.409779+00:00,,,,,5.8000,5.8000,0.8500,0.0850,1.4700,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
141,2026-03-08 12:12:15.649077+00:00,2026-03-08 12:12:15.649088+00:00,60,spot,2026-03-08 12:12:15.480105+00:00,,,,,11.2000,10.7700,2.0000,0.2000,1.7900,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
140,2026-03-08 12:12:13.378588+00:00,2026-03-08 12:12:13.378602+00:00,59,spot,2026-03-08 12:12:13.228498+00:00,,,,,6.8000,6.7600,6.2200,0.6220,9.1500,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
139,2026-03-08 12:12:12.429701+00:00,2026-03-08 12:12:12.429710+00:00,58,spot,2026-03-08 12:12:12.237457+00:00,,,,,19.2800,20.1300,5.4000,0.5400,2.8000,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
138,2026-03-08 12:12:11.211411+00:00,2026-03-08 12:12:11.211419+00:00,57,spot,2026-03-08 12:12:11.069134+00:00,,,,,7.0200,6.9100,2.0000,0.2000,2.8500,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
137,2026-03-08 12:12:10.072545+00:00,2026-03-08 12:12:10.072554+00:00,56,spot,2026-03-08 12:12:09.931681+00:00,,,,,9.3700,9.3100,3.0000,0.3000,3.2000,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
136,2026-03-08 12:12:08.198002+00:00,2026-03-08 12:12:08.198015+00:00,55,spot,2026-03-08 12:12:08.020507+00:00,,,,,6.6500,6.6900,1.5000,0.1500,2.2600,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
135,2026-03-08 12:12:03.221272+00:00,2026-03-08 12:12:03.221278+00:00,54,spot,2026-03-08 12:12:03.037167+00:00,,,,,42.6700,40.7000,14.0000,1.4000,3.2800,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
134,2026-03-08 12:12:02.302349+00:00,2026-03-08 12:12:02.302360+00:00,53,spot,2026-03-08 12:12:02.132222+00:00,,,,,8.7100,8.6100,3.0000,0.3000,3.4400,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
133,2026-03-08 12:12:01.313348+00:00,2026-03-08 12:12:01.313355+00:00,52,spot,2026-03-08 12:12:01.095284+00:00,,,,,8.3500,8.2300,2.5000,0.2500,2.9900,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
132,2026-03-08 12:12:00.215321+00:00,2026-03-08 12:12:00.215334+00:00,51,spot,2026-03-08 12:12:00.017513+00:00,,,,,10.5800,10.4400,3.7700,0.3770,3.5600,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
131,2026-03-08 12:11:56.873155+00:00,2026-03-08 12:11:56.873166+00:00,18,spot,2026-03-08 12:11:56.677019+00:00,,,,,39.2000,39.1500,20.0000,2.0000,5.1000,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
130,2026-03-08 12:11:53.880142+00:00,2026-03-08 12:11:53.880155+00:00,50,spot,2026-03-08 12:11:53.662183+00:00,,,,,6.8800,7.0300,1.4000,0.1400,2.0300,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
129,2026-03-08 12:11:52.668183+00:00,2026-03-08 12:11:52.668194+00:00,49,spot,2026-03-08 12:11:52.477702+00:00,,,,,3.8800,3.8800,0.6200,0.0620,1.6000,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
128,2026-03-08 12:11:51.624821+00:00,2026-03-08 12:11:51.624831+00:00,48,spot,2026-03-08 12:11:51.455355+00:00,,,,,6.8600,6.8400,3.0500,0.3050,4.4500,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
127,2026-03-08 12:11:50.599129+00:00,2026-03-08 12:11:50.599140+00:00,47,spot,2026-03-08 12:11:50.416779+00:00,,,,,14.6100,14.4100,6.0400,0.6040,4.1300,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
126,2026-03-08 12:11:49.297789+00:00,2026-03-08 12:11:49.297803+00:00,46,spot,2026-03-08 12:11:49.099184+00:00,,,,,17.3700,17.1100,9.0000,0.9000,5.1800,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
125,2026-03-08 12:11:48.152243+00:00,2026-03-08 12:11:48.152267+00:00,45,spot,2026-03-08 12:11:48.005159+00:00,,,,,11.9600,11.9100,6.5000,0.6500,5.4300,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
124,2026-03-08 12:11:45.637710+00:00,2026-03-08 12:11:45.637720+00:00,44,spot,2026-03-08 12:11:45.486062+00:00,,,,,68.8800,68.7000,5.0000,0.5000,0.7300,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
123,2026-03-08 12:11:40.902309+00:00,2026-03-08 12:11:40.902319+00:00,43,spot,2026-03-08 12:11:40.746094+00:00,,,,,13.6000,13.4300,5.0000,0.5000,3.6800,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
122,2026-03-08 12:11:37.048477+00:00,2026-03-08 12:11:37.048492+00:00,42,spot,2026-03-08 12:11:36.850737+00:00,,,,,21.4600,21.5400,1.0000,0.1000,0.4700,2018年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
121,2026-03-08 12:11:35.402545+00:00,2026-03-08 12:11:35.402556+00:00,41,spot,2026-03-08 12:11:35.238895+00:00,,,,,12.9700,12.8700,10.0000,1.0000,7.7100,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
120,2026-03-08 12:11:33.386769+00:00,2026-03-08 12:11:33.386780+00:00,40,spot,2026-03-08 12:11:33.209534+00:00,,,,,5.3400,5.2600,3.5000,0.3500,6.5500,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
119,2026-03-08 12:11:30.614481+00:00,2026-03-08 12:11:30.614493+00:00,39,spot,2026-03-08 12:11:30.457698+00:00,,,,,7.4300,7.5700,2.0000,0.2000,2.6900,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
118,2026-03-08 12:11:28.522896+00:00,2026-03-08 12:11:28.522908+00:00,38,spot,2026-03-08 12:11:28.341465+00:00,,,,,13.2900,13.5000,5.0000,0.5000,3.7600,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
117,2026-03-08 12:11:24.028047+00:00,2026-03-08 12:11:24.028060+00:00,37,spot,2026-03-08 12:11:23.813564+00:00,,,,,8.1800,8.3100,3.5000,0.3500,4.2800,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
116,2026-03-08 12:11:18.940149+00:00,2026-03-08 12:11:18.940161+00:00,36,spot,2026-03-08 12:11:18.727033+00:00,,,,,9.6000,9.4700,4.5000,0.4500,4.6900,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
115,2026-03-08 12:11:15.472053+00:00,2026-03-08 12:11:15.472059+00:00,35,spot,2026-03-08 12:11:15.296902+00:00,,,,,3.9100,3.8500,0.5000,0.0500,1.2800,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
114,2026-03-08 12:11:10.376651+00:00,2026-03-08 12:11:10.376668+00:00,34,spot,2026-03-08 12:11:10.200109+00:00,,,,,15.9500,15.9900,3.2000,0.3200,2.0100,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
113,2026-03-08 12:11:05.815164+00:00,2026-03-08 12:11:05.815175+00:00,33,spot,2026-03-08 12:11:05.640102+00:00,,,,,7.2000,7.2500,2.2000,0.2200,3.0600,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
112,2026-03-08 12:10:58.944096+00:00,2026-03-08 12:10:58.944102+00:00,32,spot,2026-03-08 12:10:58.749328+00:00,,,,,8009.0483,7831.5759,5.0000,0.5000,0.0100,2024年报,0E-8,0.0000,akshare.stock_zh_index_spot_sina
111,2026-03-08 12:10:54.363354+00:00,2026-03-08 12:10:54.363369+00:00,31,spot,2026-03-08 12:10:54.129406+00:00,,,,,27.2300,26.5400,7.5000,0.7500,2.7500,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
110,2026-03-08 12:10:52.326583+00:00,2026-03-08 12:10:52.326597+00:00,30,spot,2026-03-08 12:10:52.174963+00:00,,,,,14.5500,14.4200,6.3000,0.6300,4.3300,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
109,2026-03-08 12:10:49.866715+00:00,2026-03-08 12:10:49.866727+00:00,29,spot,2026-03-08 12:10:49.693544+00:00,,,,,37.4000,37.0400,20.0000,2.0000,5.3500,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
108,2026-03-08 12:10:45.970288+00:00,2026-03-08 12:10:45.970298+00:00,28,spot,2026-03-08 12:10:45.757848+00:00,,,,,12.3300,12.1200,5.2300,0.5230,4.2400,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
107,2026-03-08 12:10:41.852236+00:00,2026-03-08 12:10:41.852246+00:00,27,spot,2026-03-08 12:10:41.670439+00:00,,,,,80.4000,80.9300,8.0000,0.8000,1.0000,2023年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
106,2026-03-08 12:10:34.204741+00:00,2026-03-08 12:10:34.204766+00:00,26,spot,2026-03-08 12:10:33.975051+00:00,,,,,9.8500,9.7200,3.0000,0.3000,3.0500,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
105,2026-03-08 12:10:29.993204+00:00,2026-03-08 12:10:29.993219+00:00,25,spot,2026-03-08 12:10:29.743071+00:00,,,,,1522.1195,1513.9145,1.0000,0.1000,0.0100,2024年报,0E-8,0.0000,akshare.stock_zh_index_spot_sina
104,2026-03-08 07:51:59.065251+00:00,2026-03-08 07:51:59.065258+00:00,11,spot,2026-03-08 07:51:59.064092+00:00,,,,,1553.7060,1531.6860,,,,,0E-8,0.0000,akshare.stock_board_industry_index_ths.fallback_close
103,2026-03-08 07:51:56.392572+00:00,2026-03-08 07:51:56.392579+00:00,10,spot,2026-03-08 07:51:56.391425+00:00,,,,,1.7810,1.7779,,,,,0E-8,0.0000,akshare.bond_zh_us_rate
102,2026-03-08 07:51:53.872953+00:00,2026-03-08 07:51:53.872968+00:00,24,spot,2026-03-08 07:51:53.870669+00:00,,,,,0.8820,0.8808,,,,,0E-8,0.0000,yfinance.fast_info
101,2026-03-08 07:51:53.557251+00:00,2026-03-08 07:51:53.557261+00:00,9,spot,2026-03-08 07:51:53.555580+00:00,,,,,6.9031,6.9145,,,,,0E-8,0.0000,yfinance.fast_info
100,2026-03-08 07:51:53.142586+00:00,2026-03-08 07:51:53.142602+00:00,8,spot,2026-03-08 07:51:53.140432+00:00,,,,,3521.9500,3475.2800,,,,,0E-8,0.0000,akshare.stock_zh_index_hist_csindex.fallback_close
99,2026-03-08 07:51:51.096346+00:00,2026-03-08 07:51:51.096351+00:00,7,spot,2026-03-08 07:51:51.095550+00:00,,,,,1427.3530,1427.2250,,,,,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
98,2026-03-08 07:51:49.372637+00:00,2026-03-08 07:51:49.372643+00:00,6,spot,2026-03-08 07:51:49.371457+00:00,,,,,4947.5000,4796.3301,,,,,0E-8,0.0000,yfinance.fast_info
97,2026-03-08 07:51:48.178320+00:00,2026-03-08 07:51:48.178325+00:00,5,spot,2026-03-08 07:51:48.177463+00:00,,,,,1414.3943,1405.3534,,,,,0E-8,0.0000,akshare.stock_zh_index_spot_sina
96,2026-03-08 07:51:47.407468+00:00,2026-03-08 07:51:47.407473+00:00,4,spot,2026-03-08 07:51:47.406634+00:00,,,,,3229.3020,3216.9390,,,,,0E-8,0.0000,akshare.stock_zh_index_spot_sina
95,2026-03-08 07:51:46.386792+00:00,2026-03-08 07:51:46.386798+00:00,3,spot,2026-03-08 07:51:46.385693+00:00,,,,,8248.8569,8171.1194,,,,,0E-8,0.0000,akshare.stock_zh_index_spot_sina
94,2026-03-08 07:51:45.612945+00:00,2026-03-08 07:51:45.612952+00:00,2,spot,2026-03-08 07:51:45.611898+00:00,,,,,4660.4390,4647.6921,,,,,0E-8,0.0000,akshare.stock_zh_index_spot_sina
93,2026-03-08 07:51:44.635363+00:00,2026-03-08 07:51:44.635373+00:00,1,spot,2026-03-08 07:51:44.631580+00:00,,,,,2992.7021,2988.4505,,,,,0E-8,0.0000,akshare.stock_zh_index_spot_sina
92,2026-03-07 17:06:44.752531+00:00,2026-03-07 17:06:44.752558+00:00,11,spot,2026-03-07 17:06:44.746693+00:00,,,,,1553.7060,1531.6860,,,,,0E-8,0.0000,akshare.stock_board_industry_index_ths.fallback_close
91,2026-03-07 17:06:41.867859+00:00,2026-03-07 17:06:41.867865+00:00,10,spot,2026-03-07 17:06:41.866894+00:00,,,,,1.7810,1.7779,,,,,0E-8,0.0000,akshare.bond_zh_us_rate
90,2026-03-07 17:06:39.270117+00:00,2026-03-07 17:06:39.270123+00:00,24,spot,2026-03-07 17:06:39.269152+00:00,,,,,0.8820,0.8808,,,,,0E-8,0.0000,yfinance.fast_info
89,2026-03-07 17:06:39.050218+00:00,2026-03-07 17:06:39.050230+00:00,9,spot,2026-03-07 17:06:39.048583+00:00,,,,,6.9031,6.9145,,,,,0E-8,0.0000,yfinance.fast_info
88,2026-03-07 17:06:38.641328+00:00,2026-03-07 17:06:38.641340+00:00,8,spot,2026-03-07 17:06:38.639471+00:00,,,,,3521.9500,3475.2800,,,,,0E-8,0.0000,akshare.stock_zh_index_hist_csindex.fallback_close
87,2026-03-07 17:06:36.527815+00:00,2026-03-07 17:06:36.527820+00:00,7,spot,2026-03-07 17:06:36.527011+00:00,,,,,1427.3530,1427.2250,,,,,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
86,2026-03-07 17:06:33.946302+00:00,2026-03-07 17:06:33.946313+00:00,6,spot,2026-03-07 17:06:33.944225+00:00,,,,,4947.5000,4796.3301,,,,,0E-8,0.0000,yfinance.fast_info
